Environment Canada
Monthly Values for May - 2007

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"GIBSONS GOWER POINT","49.386","-123.541","BC","12.9","1","0.2","24.0","1","5.0","1","0.0","1",NA,"50.4","1",NA,"0.0","6","","",NA,"154.8","0.8","1043152"
"LOIS RIVER DAM","49.795","-124.318","BC","",,NA,"",,"",,"0.0","1",NA,"65.8","1",NA,"0.0","4","","",NA,"","","1044710"
"MALIBU JERVIS INLET","50.165","-123.853","BC","13.2","0","0.2","26.0","0","6.0","0","0.0","0",NA,"74.7","0","51.0","0.0","9","","",NA,"149.8","2.3","1044840"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","13.4","0","0.3","23.5","0","6.5","0","0.0","0","0.0","31.3","0","50.0","0.0","6","","",NA,"145.5","2.3","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","13.0","0",NA,"22.6","0","5.4","0","",,NA,"72.4","0",NA,"","7","",,NA,"154.9","0.1","10459NN"
"PENDER HARBOUR","49.634","-124.032","BC","",,NA,"",,"",,"0.0","0",NA,"31.9","0",NA,"0.0","4","","",NA,"","","1046115"
"PORT MELLON","49.526","-123.496","BC","12.2","0",NA,"25.4","0","3.2","0","",,NA,"145.0","1",NA,"","10","",,NA,"181.4","2.8","1046332"
"POWELL RIVER A","49.834","-124.500","BC","11.2","0","-0.7","25.6","0","0.3","0","0.0","0",NA,"60.8","0","79.0","0.0","8","","",NA,"210.4","0.0","1046391"
"SQUAMISH UPPER","49.896","-123.281","BC","12.3","0","-0.3","30.0","0","1.5","0","0.0","0",NA,"91.4","0","86.0","0.0","10","","",NA,"179.7","1.6","1047672"
"SQUAMISH AIRPORT","49.783","-123.161","BC","12.3","0",NA,"28.3","0","2.2","0","",,NA,"85.5","0",NA,"","8","",,NA,"178.0","0.5","10476F0"
"STILLWATER POWER HOUSE","49.767","-124.317","BC","",,NA,"",,"",,"0.0","1",NA,"68.7","1",NA,"0.0","5","","",NA,"","","1047770"
"WHISTLER","50.129","-122.955","BC","9.8","1","-0.3","26.9","1","-1.1","1","0.5","1",NA,"36.6","1",NA,"","10","","",NA,"246.4","0.0","1048898"
"CAPE ST JAMES CS","51.936","-131.016","BC","9.0","0",NA,"17.3","0","4.1","0","",,NA,"0.0","6",NA,"","0","",,NA,"278.7","0.0","1051351"
"KINDAKUN ROCKS (AUT)","53.316","-132.772","BC","8.1","0",NA,"12.1","0","4.4","0","",,NA,"0.0","13",NA,"","0","",,NA,"308.4","0.0","1054222"
"LANGARA","54.255","-133.058","BC","8.1","0","-0.5","14.0","0","2.7","0","0.0","0","0.0","87.6","0","80.0","0.0","18","",,NA,"307.6","0.0","1054500"
"LANGARA ISLAND RCS","54.255","-133.058","BC","8.1","7",NA,"14.3","5","2.9","7","",,NA,"21.6","24",NA,"","5","",,NA,"237.6","0.0","1054503"
"MASSET AIRPORT","54.027","-132.125","BC","8.0","8",NA,"18.7","8","-0.9","8","0.0","8",NA,"36.9","8",NA,"","12","","",NA,"230.6","0.0","1054920"
"MORESBY ISLAND MITCHELL INLET","52.935","-132.129","BC","8.3","0",NA,"18.0","0","0.5","0","0.0","0",NA,"150.5","0",NA,"","21","","",NA,"299.6","0.0","10551R8"
"SANDSPIT A","53.254","-131.813","BC","8.5","0","-0.9","15.0","0","0.5","0","0.0","0","0.0","52.1","0","78.0","0.0","15","","",NA,"295.0","0.0","1057050"
"SANDSPIT AWOS","53.254","-131.814","BC","8.5","0",NA,"14.0","0","1.8","0","",,NA,"",,NA,"","","",,NA,"293.1","0.0","1057055"
